id;instrumento;acorde;acorde_enarmonico;tonica;tonica_pt;qualidade;formula_intervalar;inversao_numero;inversao_nome;notas_ordenadas;notas_separadas;baixo_sugerido;mao_esquerda_sugerida;mao_direita_sugerida;oitava_referencia;observacoes;fonte
teclado-Cm7-0;teclado;Cm7;;C;Dó;menor com sétima;1 b3 5 b7;0;posição fundamental;C-D#-G-A#;C|D#|G|A#;C;C;C-D#-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm7-1;teclado;Cm7;;C;Dó;menor com sétima;1 b3 5 b7;1;1ª inversão;D#-G-A#-C;D#|G|A#|C;D#;C;D#-G-A#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm7-2;teclado;Cm7;;C;Dó;menor com sétima;1 b3 5 b7;2;2ª inversão;G-A#-C-D#;G|A#|C|D#;G;C;G-A#-C-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm7-3;teclado;Cm7;;C;Dó;menor com sétima;1 b3 5 b7;3;3ª inversão;A#-C-D#-G;A#|C|D#|G;A#;C;A#-C-D#-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C6-0;teclado;C6;;C;Dó;sexta;1 3 5 6;0;posição fundamental;C-E-G-A;C|E|G|A;C;C;C-E-G-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C6-1;teclado;C6;;C;Dó;sexta;1 3 5 6;1;1ª inversão;E-G-A-C;E|G|A|C;E;C;E-G-A-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C6-2;teclado;C6;;C;Dó;sexta;1 3 5 6;2;2ª inversão;G-A-C-E;G|A|C|E;G;C;G-A-C-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C6-3;teclado;C6;;C;Dó;sexta;1 3 5 6;3;3ª inversão;A-C-E-G;A|C|E|G;A;C;A-C-E-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm6-0;teclado;Cm6;;C;Dó;menor com sexta;1 b3 5 6;0;posição fundamental;C-D#-G-A;C|D#|G|A;C;C;C-D#-G-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm6-1;teclado;Cm6;;C;Dó;menor com sexta;1 b3 5 6;1;1ª inversão;D#-G-A-C;D#|G|A|C;D#;C;D#-G-A-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm6-2;teclado;Cm6;;C;Dó;menor com sexta;1 b3 5 6;2;2ª inversão;G-A-C-D#;G|A|C|D#;G;C;G-A-C-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm6-3;teclado;Cm6;;C;Dó;menor com sexta;1 b3 5 6;3;3ª inversão;A-C-D#-G;A|C|D#|G;A;C;A-C-D#-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cdim-0;teclado;Cdim;;C;Dó;diminuto;1 b3 b5;0;posição fundamental;C-D#-F#;C|D#|F#;C;C;C-D#-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cdim-1;teclado;Cdim;;C;Dó;diminuto;1 b3 b5;1;1ª inversão;D#-F#-C;D#|F#|C;D#;C;D#-F#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cdim-2;teclado;Cdim;;C;Dó;diminuto;1 b3 b5;2;2ª inversão;F#-C-D#;F#|C|D#;F#;C;F#-C-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cdim7-0;teclado;Cdim7;;C;Dó;diminuto com sétima;1 b3 b5 bb7;0;posição fundamental;C-D#-F#-A;C|D#|F#|A;C;C;C-D#-F#-A;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cdim7-1;teclado;Cdim7;;C;Dó;diminuto com sétima;1 b3 b5 bb7;1;1ª inversão;D#-F#-A-C;D#|F#|A|C;D#;C;D#-F#-A-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cdim7-2;teclado;Cdim7;;C;Dó;diminuto com sétima;1 b3 b5 bb7;2;2ª inversão;F#-A-C-D#;F#|A|C|D#;F#;C;F#-A-C-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cdim7-3;teclado;Cdim7;;C;Dó;diminuto com sétima;1 b3 b5 bb7;3;3ª inversão;A-C-D#-F#;A|C|D#|F#;A;C;A-C-D#-F#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Caug-0;teclado;Caug;;C;Dó;aumentado;1 3 #5;0;posição fundamental;C-E-G#;C|E|G#;C;C;C-E-G#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Caug-1;teclado;Caug;;C;Dó;aumentado;1 3 #5;1;1ª inversão;E-G#-C;E|G#|C;E;C;E-G#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Caug-2;teclado;Caug;;C;Dó;aumentado;1 3 #5;2;2ª inversão;G#-C-E;G#|C|E;G#;C;G#-C-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Csus2-0;teclado;Csus2;;C;Dó;suspenso com segunda;1 2 5;0;posição fundamental;C-D-G;C|D|G;C;C;C-D-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Csus2-1;teclado;Csus2;;C;Dó;suspenso com segunda;1 2 5;1;1ª inversão;D-G-C;D|G|C;D;C;D-G-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Csus2-2;teclado;Csus2;;C;Dó;suspenso com segunda;1 2 5;2;2ª inversão;G-C-D;G|C|D;G;C;G-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Csus4-0;teclado;Csus4;;C;Dó;suspenso com quarta;1 4 5;0;posição fundamental;C-F-G;C|F|G;C;C;C-F-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Csus4-1;teclado;Csus4;;C;Dó;suspenso com quarta;1 4 5;1;1ª inversão;F-G-C;F|G|C;F;C;F-G-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Csus4-2;teclado;Csus4;;C;Dó;suspenso com quarta;1 4 5;2;2ª inversão;G-C-F;G|C|F;G;C;G-C-F;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cadd9-0;teclado;Cadd9;;C;Dó;com nona adicionada;1 3 5 9;0;posição fundamental;C-D-E-G;C|D|E|G;C;C;C-D-E-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cadd9-1;teclado;Cadd9;;C;Dó;com nona adicionada;1 3 5 9;1;1ª inversão;D-E-G-C;D|E|G|C;D;C;D-E-G-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cadd9-2;teclado;Cadd9;;C;Dó;com nona adicionada;1 3 5 9;2;2ª inversão;E-G-C-D;E|G|C|D;E;C;E-G-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cadd9-3;teclado;Cadd9;;C;Dó;com nona adicionada;1 3 5 9;3;3ª inversão;G-C-D-E;G|C|D|E;G;C;G-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C9-0;teclado;C9;;C;Dó;nona dominante;1 3 5 b7 9;0;posição fundamental;C-D-E-G-A#;C|D|E|G|A#;C;C;C-D-E-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C9-1;teclado;C9;;C;Dó;nona dominante;1 3 5 b7 9;1;1ª inversão;D-E-G-A#-C;D|E|G|A#|C;D;C;D-E-G-A#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C9-2;teclado;C9;;C;Dó;nona dominante;1 3 5 b7 9;2;2ª inversão;E-G-A#-C-D;E|G|A#|C|D;E;C;E-G-A#-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C9-3;teclado;C9;;C;Dó;nona dominante;1 3 5 b7 9;3;3ª inversão;G-A#-C-D-E;G|A#|C|D|E;G;C;G-A#-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C9-4;teclado;C9;;C;Dó;nona dominante;1 3 5 b7 9;4;4ª inversão;A#-C-D-E-G;A#|C|D|E|G;A#;C;A#-C-D-E-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj9-0;teclado;Cmaj9;;C;Dó;nona maior;1 3 5 7 9;0;posição fundamental;C-D-E-G-B;C|D|E|G|B;C;C;C-D-E-G-B;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj9-1;teclado;Cmaj9;;C;Dó;nona maior;1 3 5 7 9;1;1ª inversão;D-E-G-B-C;D|E|G|B|C;D;C;D-E-G-B-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj9-2;teclado;Cmaj9;;C;Dó;nona maior;1 3 5 7 9;2;2ª inversão;E-G-B-C-D;E|G|B|C|D;E;C;E-G-B-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj9-3;teclado;Cmaj9;;C;Dó;nona maior;1 3 5 7 9;3;3ª inversão;G-B-C-D-E;G|B|C|D|E;G;C;G-B-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj9-4;teclado;Cmaj9;;C;Dó;nona maior;1 3 5 7 9;4;4ª inversão;B-C-D-E-G;B|C|D|E|G;B;C;B-C-D-E-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm9-0;teclado;Cm9;;C;Dó;menor com nona;1 b3 5 b7 9;0;posição fundamental;C-D-D#-G-A#;C|D|D#|G|A#;C;C;C-D-D#-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm9-1;teclado;Cm9;;C;Dó;menor com nona;1 b3 5 b7 9;1;1ª inversão;D-D#-G-A#-C;D|D#|G|A#|C;D;C;D-D#-G-A#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm9-2;teclado;Cm9;;C;Dó;menor com nona;1 b3 5 b7 9;2;2ª inversão;D#-G-A#-C-D;D#|G|A#|C|D;D#;C;D#-G-A#-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm9-3;teclado;Cm9;;C;Dó;menor com nona;1 b3 5 b7 9;3;3ª inversão;G-A#-C-D-D#;G|A#|C|D|D#;G;C;G-A#-C-D-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm9-4;teclado;Cm9;;C;Dó;menor com nona;1 b3 5 b7 9;4;4ª inversão;A#-C-D-D#-G;A#|C|D|D#|G;A#;C;A#-C-D-D#-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C11-0;teclado;C11;;C;Dó;décima primeira;1 3 5 b7 9 11;0;posição fundamental;C-D-E-F-G-A#;C|D|E|F|G|A#;C;C;C-D-E-F-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C11-1;teclado;C11;;C;Dó;décima primeira;1 3 5 b7 9 11;1;1ª inversão;D-E-F-G-A#-C;D|E|F|G|A#|C;D;C;D-E-F-G-A#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C11-2;teclado;C11;;C;Dó;décima primeira;1 3 5 b7 9 11;2;2ª inversão;E-F-G-A#-C-D;E|F|G|A#|C|D;E;C;E-F-G-A#-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C11-3;teclado;C11;;C;Dó;décima primeira;1 3 5 b7 9 11;3;3ª inversão;F-G-A#-C-D-E;F|G|A#|C|D|E;F;C;F-G-A#-C-D-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C11-4;teclado;C11;;C;Dó;décima primeira;1 3 5 b7 9 11;4;4ª inversão;G-A#-C-D-E-F;G|A#|C|D|E|F;G;C;G-A#-C-D-E-F;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C11-5;teclado;C11;;C;Dó;décima primeira;1 3 5 b7 9 11;5;5ª inversão;A#-C-D-E-F-G;A#|C|D|E|F|G;A#;C;A#-C-D-E-F-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm11-0;teclado;Cm11;;C;Dó;menor com décima primeira;1 b3 5 b7 9 11;0;posição fundamental;C-D-D#-F-G-A#;C|D|D#|F|G|A#;C;C;C-D-D#-F-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm11-1;teclado;Cm11;;C;Dó;menor com décima primeira;1 b3 5 b7 9 11;1;1ª inversão;D-D#-F-G-A#-C;D|D#|F|G|A#|C;D;C;D-D#-F-G-A#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm11-2;teclado;Cm11;;C;Dó;menor com décima primeira;1 b3 5 b7 9 11;2;2ª inversão;D#-F-G-A#-C-D;D#|F|G|A#|C|D;D#;C;D#-F-G-A#-C-D;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm11-3;teclado;Cm11;;C;Dó;menor com décima primeira;1 b3 5 b7 9 11;3;3ª inversão;F-G-A#-C-D-D#;F|G|A#|C|D|D#;F;C;F-G-A#-C-D-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm11-4;teclado;Cm11;;C;Dó;menor com décima primeira;1 b3 5 b7 9 11;4;4ª inversão;G-A#-C-D-D#-F;G|A#|C|D|D#|F;G;C;G-A#-C-D-D#-F;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm11-5;teclado;Cm11;;C;Dó;menor com décima primeira;1 b3 5 b7 9 11;5;5ª inversão;A#-C-D-D#-F-G;A#|C|D|D#|F|G;A#;C;A#-C-D-D#-F-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C13-0;teclado;C13;;C;Dó;décima terceira;1 3 5 b7 9 13;0;posição fundamental;C-D-E-G-A-A#;C|D|E|G|A|A#;C;C;C-D-E-G-A-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C13-1;teclado;C13;;C;Dó;décima terceira;1 3 5 b7 9 13;1;1ª inversão;D-E-G-A-A#-C;D|E|G|A|A#|C;D;C;D-E-G-A-A#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
